Period,Group,Statistic,Home,Away,Match
Second Half,Duels,Ground duels,16/28 (57%),12/28 (43%),Match 6
Second Half,Duels,Aerial duels,12/15 (80%),3/15 (20%),Match 6
Second Half,Duels,Dribbles,3/6 (50%),1/4 (25%),Match 6
Second Half,Defending,Tackles won,40%,71%,Match 6
Second Half,Defending,Total tackles,5,7,Match 6
Second Half,Defending,Interceptions,4,4,Match 6
Second Half,Defending,Recoveries,18,24,Match 6
Second Half,Defending,Clearances,6,11,Match 6
Second Half,Goalkeeping,Total saves,0,2,Match 6
Second Half,Goalkeeping,Goal kicks,5,3,Match 6
Extra Time 1,Match overview,Ball possession,41%,59%,Match 6
Extra Time 1,Match overview,Expected goals,0.10,0.05,Match 6
Extra Time 1,Match overview,Big chances,0,0,Match 6
Extra Time 1,Match overview,Total shots,2,2,Match 6
Extra Time 1,Match overview,Goalkeeper saves,0,2,Match 6
Extra Time 1,Match overview,Corner kicks,0,1,Match 6
Extra Time 1,Match overview,Passes,53,77,Match 6
Extra Time 1,Match overview,Tackles,4,7,Match 6
Extra Time 1,Match overview,Free kicks,3,1,Match 6
Extra Time 1,Match overview,Yellow cards,0,0,Match 6
Extra Time 1,Shots,Total shots,2,2,Match 6
Extra Time 1,Shots,Shots on target,2,0,Match 6
Extra Time 1,Shots,Hit woodwork,0,0,Match 6
Extra Time 1,Shots,Shots off target,0,0,Match 6
Extra Time 1,Shots,Blocked shots,0,2,Match 6
Extra Time 1,Shots,Shots inside box,2,0,Match 6
Extra Time 1,Shots,Shots outside box,0,2,Match 6
Extra Time 1,Attack,Big chances scored,0,0,Match 6
Extra Time 1,Attack,Big chances missed,0,0,Match 6
Extra Time 1,Attack,Through balls,0,0,Match 6
Extra Time 1,Attack,Fouled in final third,0,0,Match 6
Extra Time 1,Attack,Offsides,0,0,Match 6
Extra Time 1,Passes,Accurate passes,43,64,Match 6
Extra Time 1,Passes,Throw-ins,3,2,Match 6
Extra Time 1,Passes,Final third entries,6,9,Match 6
Extra Time 1,Passes,Long balls,2/5 (40%),2/6 (33%),Match 6
Extra Time 1,Passes,Crosses,1/2 (50%),0/4 (0%),Match 6
Extra Time 1,Duels,Duels,52%,48%,Match 6
Extra Time 1,Duels,Dispossessed,4,2,Match 6
Extra Time 1,Duels,Ground duels,9/21 (43%),12/21 (57%),Match 6
Extra Time 1,Duels,Aerial duels,4/4 (100%),0/4 (0%),Match 6
Extra Time 1,Duels,Dribbles,2/5 (40%),4/6 (67%),Match 6
Extra Time 1,Defending,Tackles won,75%,86%,Match 6
Extra Time 1,Defending,Total tackles,4,7,Match 6
Extra Time 1,Defending,Interceptions,2,0,Match 6
Extra Time 1,Defending,Recoveries,10,10,Match 6
Extra Time 1,Defending,Clearances,2,0,Match 6
Extra Time 1,Goalkeeping,Total saves,0,2,Match 6
Extra Time 1,Goalkeeping,Goal kicks,0,2,Match 6
Extra Time 2,Match overview,Ball possession,23%,77%,Match 6
Extra Time 2,Match overview,Expected goals,0.36,0.21,Match 6
Extra Time 2,Match overview,Big chances,1,0,Match 6
Extra Time 2,Match overview,Total shots,2,3,Match 6
Extra Time 2,Match overview,Goalkeeper saves,0,0,Match 6
Extra Time 2,Match overview,Corner kicks,0,2,Match 6
Extra Time 2,Match overview,Passes,26,85,Match 6
Extra Time 2,Match overview,Tackles,4,2,Match 6
Extra Time 2,Match overview,Free kicks,1,1,Match 6
Extra Time 2,Match overview,Yellow cards,1,1,Match 6
Extra Time 2,Shots,Total shots,2,3,Match 6
Extra Time 2,Shots,Shots on target,1,0,Match 6
Extra Time 2,Shots,Hit woodwork,0,0,Match 6
Extra Time 2,Shots,Shots off target,1,2,Match 6
Extra Time 2,Shots,Blocked shots,0,1,Match 6
Extra Time 2,Shots,Shots inside box,1,2,Match 6
Extra Time 2,Shots,Shots outside box,1,1,Match 6
Extra Time 2,Attack,Big chances scored,1,0,Match 6
Extra Time 2,Attack,Big chances missed,0,0,Match 6
Extra Time 2,Attack,Through balls,1,2,Match 6
Extra Time 2,Attack,Fouled in final third,0,0,Match 6
Extra Time 2,Attack,Offsides,0,0,Match 6
Extra Time 2,Passes,Accurate passes,15,66,Match 6
Extra Time 2,Passes,Throw-ins,1,4,Match 6
Extra Time 2,Passes,Final third entries,9,11,Match 6
Extra Time 2,Passes,Long balls,2/8 (25%),7/13 (54%),Match 6
Extra Time 2,Passes,Crosses,0/1 (0%),1/2 (50%),Match 6
Extra Time 2,Duels,Duels,60%,40%,Match 6
Extra Time 2,Duels,Dispossessed,1,2,Match 6
Extra Time 2,Duels,Ground duels,5/8 (63%),3/8 (38%),Match 6
Extra Time 2,Duels,Aerial duels,4/7 (57%),3/7 (43%),Match 6
Extra Time 2,Duels,Dribbles,0/1 (0%),0/2 (0%),Match 6
Extra Time 2,Defending,Tackles won,75%,50%,Match 6
Extra Time 2,Defending,Total tackles,4,2,Match 6
Extra Time 2,Defending,Interceptions,2,1,Match 6
Extra Time 2,Defending,Recoveries,10,8,Match 6
Extra Time 2,Defending,Clearances,9,1,Match 6
Extra Time 2,Goalkeeping,Total saves,0,0,Match 6
Extra Time 2,Goalkeeping,Goal kicks,2,2,Match 6
