Name,Position,Outcome,Situation,Player Coordinates,Body Part,Shot Location,Shot Coordinates,Expected Goal (xG),Expected Goal on Target (xGOT),Match
Jeremy Sarmiento,F,save,assisted,"{'x': 3.8, 'y': 40.9, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.4, 'z': 1.9}",0.32272294163704,0.6901,Match 4
Tani Oluwaseyi,F,miss,assisted,"{'x': 10.1, 'y': 52.3, 'z': 0}",head,close-right,"{'x': 0, 'y': 40.8, 'z': 12.5}",0.10496734082699,0.0,Match 5
Tani Oluwaseyi,F,save,assisted,"{'x': 14.8, 'y': 46.6, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 48.2, 'z': 1.9}",0.16525553166866,0.1215,Match 5
Liam Millar,M,miss,regular,"{'x': 25.7, 'y': 63.8, 'z': 0}",right-foot,high,"{'x': 0, 'y': 49.6, 'z': 93.1}",0.018697733059525,0.0,Match 5
Ismael Koné,M,block,assisted,"{'x': 19.4, 'y': 51.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49, 'z': 19}",0.090994901955128,0.0,Match 5
Ismael Koné,M,miss,assisted,"{'x': 25.1, 'y': 57.5, 'z': 0}",left-foot,high,"{'x': 0, 'y': 50.8, 'z': 72.2}",0.026660066097975,0.0,Match 5
Julián Álvarez,F,save,assisted,"{'x': 14, 'y': 61.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.4, 'z': 10.8}",0.39730045199394,0.0615,Match 5
Lionel Messi,F,goal,assisted,"{'x': 4.6, 'y': 50.7, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 47.4, 'z': 5.1}",0.67360430955887,0.9433,Match 5
Enzo Fernández,M,block,regular,"{'x': 15.5, 'y': 46.6, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.3, 'z': 19}",0.16799372434616,0.0,Match 5
Jonathan David,F,save,throw-in-set-piece,"{'x': 2.3, 'y': 57.5, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 46.9, 'z': 13.9}",0.19845031201839,0.7001,Match 5
Lionel Messi,F,miss,assisted,"{'x': 18.4, 'y': 46.8, 'z': 0}",left-foot,high,"{'x': 0, 'y': 49.1, 'z': 68.1}",0.040804896503687,0.0,Match 5
Lionel Messi,F,miss,assisted,"{'x': 12.8, 'y': 42.5, 'z': 0}",right-foot,left,"{'x': 0, 'y': 60.8, 'z': 12.5}",0.13806061446667,0.0,Match 5
Lisandro Martínez,D,miss,corner,"{'x': 9.6, 'y': 62.4, 'z': 0}",head,close-right,"{'x': 0, 'y': 42.5, 'z': 38.9}",0.01620189845562,0.0,Match 5
Nicolás Tagliafico,D,block,assisted,"{'x': 11.3, 'y': 30.5, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.8, 'z': 19}",0.022119294852018,0.0,Match 5
Ángel Di María,M,miss,regular,"{'x': 18.4, 'y': 71.4, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 57.8, 'z': 41.7}",0.029839804396033,0.0,Match 5
